net,length_um
pp_inst.fifo_data\[28\]\[26\],15.17µm
pp_inst.fifo_data\[28\]\[28\],15.17µm
pp_inst.fifo_data\[30\]\[26\],15.17µm
pp_inst.fifo_data\[31\]\[23\],15.17µm
pp_inst.fifo_data\[31\]\[25\],15.17µm
pp_inst.fifo_data\[32\]\[15\],15.17µm
pp_inst.fifo_data\[34\]\[23\],15.17µm
pp_inst.fifo_data\[37\]\[12\],15.17µm
pp_inst.fifo_data\[37\]\[13\],15.17µm
pp_inst.fifo_data\[38\]\[24\],15.17µm
pp_inst.fifo_data\[43\]\[3\],15.17µm
pp_inst.fifo_data\[44\]\[0\],15.17µm
pp_inst.fifo_data\[46\]\[7\],15.17µm
pp_inst.fifo_data\[4\]\[25\],15.17µm
pp_inst.fifo_data\[52\]\[25\],15.17µm
pp_inst.fifo_data\[54\]\[1\],15.17µm
pp_inst.fifo_data\[56\]\[30\],15.17µm
pp_inst.fifo_data\[57\]\[20\],15.17µm
pp_inst.fifo_data\[5\]\[21\],15.17µm
pp_inst.fifo_data\[60\]\[6\],15.17µm
pp_inst.fifo_data\[62\]\[6\],15.17µm
pp_inst.fifo_data\[63\]\[28\],15.17µm
pp_inst.fifo_data\[6\]\[17\],15.17µm
pp_inst.fifo_data\[6\]\[19\],15.17µm
pp_inst.fifo_data\[8\]\[20\],15.17µm
spi_ctrl.pend_word\[22\],15.17µm
spi_ctrl.pend_word\[9\],15.17µm
spi_ctrl.tx_shift_reg\[28\],15.17µm
_00057_,15.12µm
_00229_,15.12µm
_00632_,15.12µm
_01074_,15.12µm
_01662_,15.12µm
_02105_,15.12µm
_02167_,15.12µm
_02254_,15.12µm
_02709_,15.12µm
_03079_,15.12µm
_03225_,15.12µm
_03227_,15.12µm
_03260_,15.12µm
_03287_,15.12µm
_03369_,15.12µm
_03454_,15.12µm
_03458_,15.12µm
_03496_,15.12µm
_03605_,15.12µm
_03940_,15.12µm
_03983_,15.12µm
_04041_,15.12µm
_04244_,15.12µm
_04300_,15.12µm
_04308_,15.12µm
_04312_,15.12µm
_04357_,15.12µm
_04393_,15.12µm
_04627_,15.12µm
_04780_,15.12µm
_04849_,15.12µm
_04875_,15.12µm
_05118_,15.12µm
_05404_,15.12µm
_05686_,15.12µm
_05862_,15.12µm
_06000_,15.12µm
_06132_,15.12µm
_07008_,15.12µm
_07575_,15.12µm
_07711_,15.12µm
_08264_,15.12µm
_08366_,15.12µm
_08417_,15.12µm
_08439_,15.12µm
_08487_,15.12µm
_08633_,15.12µm
_08822_,15.12µm
_09338_,15.12µm
_09985_,15.12µm
_10118_,15.12µm
_10336_,15.12µm
_10403_,15.12µm
_10681_,15.12µm
_10701_,15.12µm
_10707_,15.12µm
_10815_,15.12µm
_11221_,15.12µm
_11563_,15.12µm
_11625_,15.12µm
_11981_,15.12µm
_11984_,15.12µm
_11990_,15.12µm
_12122_,15.12µm
_12344_,15.12µm
pp_inst.core_inst.asconp_i.x0\[11\],15.12µm
pp_inst.core_inst.reg_state_i.data_d\[159\],15.12µm
pp_inst.fifo_data\[13\]\[26\],15.12µm
pp_inst.fifo_data\[14\]\[7\],15.12µm
pp_inst.fifo_data\[31\]\[26\],15.12µm
pp_inst.fifo_data\[32\]\[16\],15.12µm
pp_inst.fifo_data\[50\]\[6\],15.12µm
pp_inst.fifo_data\[63\]\[3\],15.12µm
pp_inst.fifo_data\[7\]\[22\],15.12µm
spi_ctrl.pend_word\[16\],15.12µm
clknet_leaf_450_clk,15.12µm
pp_inst.fifo_data\[50\]\[23\],14.89µm
pp_inst.fifo_data\[60\]\[12\],14.89µm
pp_inst.fifo_data\[32\]\[28\],14.84µm
pp_inst.fifo_data\[45\]\[25\],14.84µm
pp_inst.fifo_data\[21\]\[22\],14.76µm
_10164_,14.71µm
_10999_,14.71µm
_11262_,14.71µm
pp_inst.fifo_data\[19\]\[17\],14.71µm
pp_inst.fifo_data\[29\]\[22\],14.71µm
pp_inst.fifo_data\[46\]\[31\],14.71µm
pp_inst.fifo_data\[4\]\[7\],14.71µm
pp_inst.fifo_data\[53\]\[0\],14.71µm
pp_inst.fifo_data\[6\]\[27\],14.71µm
spi_ctrl.pend_word\[6\],14.71µm
pp_inst.fifo_data\[30\]\[25\],14.69µm
_01658_,14.66µm
_02385_,14.66µm
_02524_,14.66µm
_07268_,14.66µm
_09696_,14.66µm
_10194_,14.66µm
_10280_,14.66µm
_10830_,14.66µm
_11037_,14.66µm
_11096_,14.66µm
pp_inst.core_inst.reg_state_i.data_d\[135\],14.66µm
pp_inst.fifo_data\[11\]\[28\],14.66µm
pp_inst.fifo_data\[14\]\[16\],14.66µm
pp_inst.fifo_data\[15\]\[27\],14.66µm
pp_inst.fifo_data\[15\]\[8\],14.66µm
pp_inst.fifo_data\[24\]\[29\],14.66µm
pp_inst.fifo_data\[27\]\[26\],14.66µm
pp_inst.fifo_data\[2\]\[6\],14.66µm
pp_inst.fifo_data\[34\]\[24\],14.66µm
pp_inst.fifo_data\[35\]\[21\],14.66µm
pp_inst.fifo_data\[39\]\[28\],14.66µm
pp_inst.fifo_data\[40\]\[3\],14.66µm
pp_inst.fifo_data\[44\]\[19\],14.66µm
pp_inst.fifo_data\[46\]\[21\],14.66µm
pp_inst.fifo_data\[48\]\[22\],14.66µm
pp_inst.fifo_data\[49\]\[12\],14.66µm
pp_inst.fifo_data\[57\]\[8\],14.66µm
pp_inst.fifo_data\[60\]\[30\],14.66µm
pp_inst.fifo_data\[63\]\[29\],14.66µm
_00510_,14.61µm
_00600_,14.61µm
_00714_,14.61µm
_00852_,14.61µm
_00859_,14.61µm
_00869_,14.61µm
_01101_,14.61µm
_01345_,14.61µm
_01532_,14.61µm
_01596_,14.61µm
_01637_,14.61µm
_01715_,14.61µm
_01777_,14.61µm
_01820_,14.61µm
_02196_,14.61µm
_02332_,14.61µm
_02376_,14.61µm
_02440_,14.61µm
_02908_,14.61µm
_02917_,14.61µm
_03135_,14.61µm
_03211_,14.61µm
_03265_,14.61µm
_03292_,14.61µm
_03449_,14.61µm
_03452_,14.61µm
_03574_,14.61µm
_03806_,14.61µm
_03885_,14.61µm
_03892_,14.61µm
_03924_,14.61µm
_03977_,14.61µm
_04014_,14.61µm
_04149_,14.61µm
_04153_,14.61µm
_04307_,14.61µm
_04365_,14.61µm
_06201_,14.61µm
_06247_,14.61µm
_06449_,14.61µm
_06607_,14.61µm
_06663_,14.61µm
_06947_,14.61µm
_07201_,14.61µm
_07225_,14.61µm
_07439_,14.61µm
_07626_,14.61µm
_07641_,14.61µm
_07859_,14.61µm
_07868_,14.61µm
_07873_,14.61µm
_07989_,14.61µm
_08219_,14.61µm
_08346_,14.61µm
_08371_,14.61µm
_08569_,14.61µm
_08781_,14.61µm
_08928_,14.61µm
_09039_,14.61µm
_09121_,14.61µm
_09250_,14.61µm
_10027_,14.61µm
_10079_,14.61µm
_10185_,14.61µm
_10242_,14.61µm
_10288_,14.61µm
_10444_,14.61µm
_10901_,14.61µm
_10957_,14.61µm
_11189_,14.61µm
_11214_,14.61µm
_11729_,14.61µm
_11754_,14.61µm
_11762_,14.61µm
_11768_,14.61µm
_11997_,14.61µm
bdi_valid\[1\],14.61µm
pp_inst.fifo_data\[0\]\[19\],14.61µm
pp_inst.fifo_data\[17\]\[9\],14.61µm
pp_inst.fifo_data\[19\]\[19\],14.61µm
pp_inst.fifo_data\[22\]\[18\],14.61µm
pp_inst.fifo_data\[25\]\[23\],14.61µm
pp_inst.fifo_data\[28\]\[25\],14.61µm
pp_inst.fifo_data\[29\]\[28\],14.61µm
pp_inst.fifo_data\[2\]\[7\],14.61µm
pp_inst.fifo_data\[31\]\[18\],14.61µm
pp_inst.fifo_data\[31\]\[8\],14.61µm
pp_inst.fifo_data\[32\]\[18\],14.61µm
pp_inst.fifo_data\[35\]\[8\],14.61µm
pp_inst.fifo_data\[36\]\[14\],14.61µm
pp_inst.fifo_data\[39\]\[1\],14.61µm
pp_inst.fifo_data\[41\]\[21\],14.61µm
pp_inst.fifo_data\[41\]\[24\],14.61µm
pp_inst.fifo_data\[45\]\[15\],14.61µm
pp_inst.fifo_data\[46\]\[8\],14.61µm
pp_inst.fifo_data\[50\]\[24\],14.61µm
pp_inst.fifo_data\[53\]\[30\],14.61µm
pp_inst.fifo_data\[57\]\[30\],14.61µm
pp_inst.fifo_data\[61\]\[13\],14.61µm
pp_inst.fifo_data\[9\]\[21\],14.61µm
spi_ctrl.tx_stage\[1\],14.61µm
clknet_leaf_43_clk,14.61µm
_00045_,14.56µm
_01098_,14.56µm
_01743_,14.56µm
_01869_,14.56µm
_02488_,14.56µm
_02939_,14.56µm
_02963_,14.56µm
_02990_,14.56µm
_03012_,14.56µm
_03568_,14.56µm
_03660_,14.56µm
_03722_,14.56µm
_03776_,14.56µm
_03871_,14.56µm
_03946_,14.56µm
_03970_,14.56µm
_04175_,14.56µm
_04298_,14.56µm
_04375_,14.56µm
_04382_,14.56µm
_04644_,14.56µm
_04824_,14.56µm
_04906_,14.56µm
_04924_,14.56µm
_05270_,14.56µm
_05676_,14.56µm
_05941_,14.56µm
_05988_,14.56µm
_06169_,14.56µm
_06303_,14.56µm
_06762_,14.56µm
_07155_,14.56µm
_07463_,14.56µm
_07541_,14.56µm
_07617_,14.56µm
_07665_,14.56µm
_08245_,14.56µm
_08247_,14.56µm
_08514_,14.56µm
_08587_,14.56µm
_08777_,14.56µm
_08800_,14.56µm
_08857_,14.56µm
_08870_,14.56µm
_08875_,14.56µm
_08917_,14.56µm
_09060_,14.56µm
_09757_,14.56µm
_10140_,14.56µm
_10176_,14.56µm
_10299_,14.56µm
_10540_,14.56µm
_10592_,14.56µm
_10630_,14.56µm
_11547_,14.56µm
_11920_,14.56µm
_12057_,14.56µm
_12127_,14.56µm
_12309_,14.56µm
pp_inst.core_inst.reg_state_i.data_d\[99\],14.56µm
pp_inst.fifo_data\[10\]\[28\],14.56µm
pp_inst.fifo_data\[17\]\[8\],14.56µm
pp_inst.fifo_data\[19\]\[21\],14.56µm
pp_inst.fifo_data\[26\]\[19\],14.56µm
pp_inst.fifo_data\[2\]\[22\],14.56µm
pp_inst.fifo_data\[31\]\[0\],14.56µm
pp_inst.fifo_data\[34\]\[9\],14.56µm
pp_inst.fifo_data\[43\]\[20\],14.56µm
pp_inst.fifo_data\[49\]\[30\],14.56µm
pp_inst.fifo_data\[56\]\[29\],14.56µm
pp_inst.fifo_data\[6\]\[16\],14.56µm
pp_inst.fifo_data\[9\]\[15\],14.56µm
_10609_,14.15µm
pp_inst.fifo_data\[32\]\[29\],14.15µm
pp_inst.fifo_data\[5\]\[22\],14.15µm
_01608_,14.1µm
_01770_,14.1µm
_01785_,14.1µm
_01940_,14.1µm
_01979_,14.1µm
_02180_,14.1µm
_02235_,14.1µm
_02977_,14.1µm
_03191_,14.1µm
_04162_,14.1µm
_04331_,14.1µm
_04890_,14.1µm
_04985_,14.1µm
_06124_,14.1µm
_06685_,14.1µm
_08744_,14.1µm
_08922_,14.1µm
_10191_,14.1µm
_10239_,14.1µm
_10380_,14.1µm
_10429_,14.1µm
_11130_,14.1µm
_12073_,14.1µm
pp_inst.fifo_data\[16\]\[14\],14.1µm
pp_inst.fifo_data\[18\]\[18\],14.1µm
pp_inst.fifo_data\[18\]\[27\],14.1µm
pp_inst.fifo_data\[35\]\[12\],14.1µm
pp_inst.fifo_data\[38\]\[12\],14.1µm
pp_inst.fifo_data\[38\]\[9\],14.1µm
pp_inst.fifo_data\[53\]\[19\],14.1µm
pp_inst.fifo_data\[54\]\[12\],14.1µm
pp_inst.fifo_data\[57\]\[17\],14.1µm
pp_inst.fifo_data\[57\]\[19\],14.1µm
pp_inst.fifo_data\[58\]\[24\],14.1µm
pp_inst.fifo_data\[7\]\[17\],14.1µm
spi_ctrl.pend_word\[5\],14.1µm
_00091_,14.05µm
_00173_,14.05µm
_00405_,14.05µm
_00572_,14.05µm
_00858_,14.05µm
_00874_,14.05µm
_00884_,14.05µm
_01240_,14.05µm
_01448_,14.05µm
_01466_,14.05µm
_01467_,14.05µm
_01649_,14.05µm
_01675_,14.05µm
_02308_,14.05µm
_02489_,14.05µm
_02677_,14.05µm
_02933_,14.05µm
_03196_,14.05µm
_03266_,14.05µm
_03710_,14.05µm
_03793_,14.05µm
_03912_,14.05µm
_03993_,14.05µm
_03995_,14.05µm
_04096_,14.05µm
_04114_,14.05µm
_04303_,14.05µm
_04371_,14.05µm
_05190_,14.05µm
_06259_,14.05µm
_06475_,14.05µm
_06960_,14.05µm
_07114_,14.05µm
_07252_,14.05µm
_07338_,14.05µm
_07496_,14.05µm
_07777_,14.05µm
_08053_,14.05µm
_08065_,14.05µm
_08252_,14.05µm
_08437_,14.05µm
_08890_,14.05µm
_08891_,14.05µm
_08945_,14.05µm
_08965_,14.05µm
_09067_,14.05µm
_09204_,14.05µm
_09373_,14.05µm
_10052_,14.05µm
_10200_,14.05µm
_10318_,14.05µm
_10329_,14.05µm
_10657_,14.05µm
_10872_,14.05µm
_10931_,14.05µm
_10983_,14.05µm
_11105_,14.05µm
_11320_,14.05µm
_11434_,14.05µm
_11646_,14.05µm
_11849_,14.05µm
_11906_,14.05µm
pp_inst.core_inst.reg_state_i.data_d\[174\],14.05µm
pp_inst.core_inst.reg_state_i.data_d\[86\],14.05µm
pp_inst.fifo_data\[10\]\[17\],14.05µm
pp_inst.fifo_data\[10\]\[23\],14.05µm
pp_inst.fifo_data\[10\]\[25\],14.05µm
pp_inst.fifo_data\[10\]\[26\],14.05µm
pp_inst.fifo_data\[11\]\[14\],14.05µm
pp_inst.fifo_data\[17\]\[25\],14.05µm
pp_inst.fifo_data\[17\]\[27\],14.05µm
pp_inst.fifo_data\[18\]\[28\],14.05µm
pp_inst.fifo_data\[18\]\[8\],14.05µm
pp_inst.fifo_data\[2\]\[25\],14.05µm
pp_inst.fifo_data\[30\]\[8\],14.05µm
pp_inst.fifo_data\[33\]\[22\],14.05µm
pp_inst.fifo_data\[43\]\[9\],14.05µm
pp_inst.fifo_data\[49\]\[29\],14.05µm
pp_inst.fifo_data\[4\]\[12\],14.05µm
pp_inst.fifo_data\[56\]\[20\],14.05µm
pp_inst.fifo_data\[58\]\[12\],14.05µm
pp_inst.fifo_data\[58\]\[7\],14.05µm
pp_inst.fifo_data\[60\]\[17\],14.05µm
pp_inst.fifo_data\[60\]\[29\],14.05µm
pp_inst.fifo_data\[6\]\[20\],14.05µm
pp_inst.fifo_data\[9\]\[8\],14.05µm
_00106_,14µm
_01003_,14µm
_01334_,14µm
_01594_,14µm
_01656_,14µm
_02389_,14µm
_02640_,14µm
_03011_,14µm
_03594_,14µm
_03698_,14µm
_03984_,14µm
_04057_,14µm
_04380_,14µm
_04406_,14µm
_04762_,14µm
_05250_,14µm
_05341_,14µm
_05380_,14µm
_05528_,14µm
_05731_,14µm
_05910_,14µm
_05926_,14µm
_05982_,14µm
_06695_,14µm
_06855_,14µm
_08095_,14µm
_08217_,14µm
_08863_,14µm
_09071_,14µm
_09086_,14µm
_09572_,14µm
_10650_,14µm
_10777_,14µm
_11104_,14µm
_11933_,14µm
_12056_,14µm
pp_inst.core_inst.reg_state_i.data_d\[90\],14µm
pp_inst.fifo_data\[16\]\[3\],14µm
pp_inst.fifo_data\[16\]\[9\],14µm
pp_inst.fifo_data\[1\]\[11\],14µm
pp_inst.fifo_data\[32\]\[1\],14µm
pp_inst.fifo_data\[35\]\[22\],14µm
pp_inst.fifo_data\[38\]\[30\],14µm
pp_inst.fifo_data\[42\]\[15\],14µm
pp_inst.fifo_data\[47\]\[29\],14µm
pp_inst.fifo_data\[52\]\[1\],14µm
pp_inst.fifo_data\[62\]\[16\],14µm
_02959_,13.64µm
pp_inst.fifo_data\[50\]\[7\],13.59µm
pp_inst.fifo_data\[54\]\[9\],13.59µm
spi_ctrl.tx_stage\[4\],13.59µm
_05759_,13.54µm
_06267_,13.54µm
_07975_,13.54µm
_09449_,13.54µm
_09959_,13.54µm
_11359_,13.54µm
_11979_,13.54µm
pp_inst.core_inst.auth_intern_d,13.54µm
pp_inst.fifo_data\[10\]\[19\],13.54µm
pp_inst.fifo_data\[18\]\[24\],13.54µm
pp_inst.fifo_data\[20\]\[15\],13.54µm
pp_inst.fifo_data\[24\]\[22\],13.54µm
pp_inst.fifo_data\[27\]\[21\],13.54µm
pp_inst.fifo_data\[28\]\[22\],13.54µm
pp_inst.fifo_data\[3\]\[22\],13.54µm
pp_inst.fifo_data\[40\]\[15\],13.54µm
pp_inst.fifo_data\[41\]\[10\],13.54µm
pp_inst.fifo_data\[45\]\[7\],13.54µm
pp_inst.fifo_data\[4\]\[27\],13.54µm
pp_inst.fifo_data\[51\]\[7\],13.54µm
pp_inst.fifo_data\[52\]\[19\],13.54µm
pp_inst.fifo_data\[63\]\[20\],13.54µm
pp_inst.fifo_data\[7\]\[24\],13.54µm
pp_inst.fifo_data\[7\]\[30\],13.54µm
pp_inst.fifo_data\[7\]\[9\],13.54µm
spi_ctrl.pend_word\[3\],13.54µm
spi_ctrl.tx_shift_reg\[22\],13.54µm
_00169_,13.49µm
_00199_,13.49µm
_00379_,13.49µm
_00866_,13.49µm
_00959_,13.49µm
_01024_,13.49µm
_01126_,13.49µm
_01487_,13.49µm
_01677_,13.49µm
_01818_,13.49µm
_01822_,13.49µm
_02076_,13.49µm
_02134_,13.49µm
_02464_,13.49µm
_02543_,13.49µm
_02657_,13.49µm
_02692_,13.49µm
_02811_,13.49µm
_02847_,13.49µm
_02978_,13.49µm
_03082_,13.49µm
_03339_,13.49µm
_03343_,13.49µm
_03809_,13.49µm
_03883_,13.49µm
_03909_,13.49µm
_04039_,13.49µm
_04519_,13.49µm
_04671_,13.49µm
_04759_,13.49µm
_04880_,13.49µm
_05033_,13.49µm
_05122_,13.49µm
_05170_,13.49µm
_05416_,13.49µm
_05477_,13.49µm
_05557_,13.49µm
_05583_,13.49µm
_05596_,13.49µm
_05597_,13.49µm
_05766_,13.49µm
_05817_,13.49µm
_05947_,13.49µm
_05961_,13.49µm
_06163_,13.49µm
_06317_,13.49µm
_06339_,13.49µm
_06417_,13.49µm
_06924_,13.49µm
_07247_,13.49µm
_07479_,13.49µm
_07495_,13.49µm
_07529_,13.49µm
_07699_,13.49µm
_07814_,13.49µm
_07992_,13.49µm
_08045_,13.49µm
_08097_,13.49µm
_08185_,13.49µm
_08285_,13.49µm
_08466_,13.49µm
_08474_,13.49µm
_08850_,13.49µm
_08950_,13.49µm
_08974_,13.49µm
_09131_,13.49µm
_09212_,13.49µm
_09249_,13.49µm
_09348_,13.49µm
_09493_,13.49µm
_10161_,13.49µm
_10253_,13.49µm
_10521_,13.49µm
_10527_,13.49µm
_10881_,13.49µm
_11195_,13.49µm
_11538_,13.49µm
_11548_,13.49µm
_11584_,13.49µm
_11587_,13.49µm
_11593_,13.49µm
_11738_,13.49µm
_11788_,13.49µm
_11852_,13.49µm
_11965_,13.49µm
_11974_,13.49µm
_11995_,13.49µm
bdi\[25\],13.49µm
pp_inst.core_inst.reg_state_i.data_d\[119\],13.49µm
pp_inst.core_inst.reg_state_i.data_d\[154\],13.49µm
pp_inst.core_inst.reg_state_i.data_d\[87\],13.49µm
pp_inst.fifo_data\[12\]\[1\],13.49µm
pp_inst.fifo_data\[12\]\[28\],13.49µm
pp_inst.fifo_data\[13\]\[22\],13.49µm
pp_inst.fifo_data\[18\]\[16\],13.49µm
pp_inst.fifo_data\[19\]\[10\],13.49µm
pp_inst.fifo_data\[19\]\[26\],13.49µm
pp_inst.fifo_data\[25\]\[21\],13.49µm
pp_inst.fifo_data\[27\]\[15\],13.49µm
pp_inst.fifo_data\[27\]\[20\],13.49µm
pp_inst.fifo_data\[2\]\[19\],13.49µm
pp_inst.fifo_data\[31\]\[22\],13.49µm
pp_inst.fifo_data\[33\]\[18\],13.49µm
pp_inst.fifo_data\[33\]\[8\],13.49µm
pp_inst.fifo_data\[35\]\[11\],13.49µm
pp_inst.fifo_data\[37\]\[19\],13.49µm
pp_inst.fifo_data\[43\]\[19\],13.49µm
pp_inst.fifo_data\[44\]\[25\],13.49µm
pp_inst.fifo_data\[46\]\[10\],13.49µm
pp_inst.fifo_data\[49\]\[27\],13.49µm
pp_inst.fifo_data\[51\]\[12\],13.49µm
pp_inst.fifo_data\[51\]\[16\],13.49µm
pp_inst.fifo_data\[53\]\[17\],13.49µm
pp_inst.fifo_data\[54\]\[18\],13.49µm
pp_inst.fifo_data\[58\]\[8\],13.49µm
pp_inst.fifo_data\[5\]\[9\],13.49µm
pp_inst.fifo_data\[60\]\[8\],13.49µm
pp_inst.fifo_data\[63\]\[27\],13.49µm
pp_inst.fifo_data\[8\]\[11\],13.49µm
spi_phy.sclk_sync\[0\],13.49µm
_00251_,13.44µm
_00325_,13.44µm
_00350_,13.44µm
_00873_,13.44µm
_00912_,13.44µm
_01301_,13.44µm
_01537_,13.44µm
_01619_,13.44µm
_01671_,13.44µm
_01866_,13.44µm
_02457_,13.44µm
_02659_,13.44µm
_02905_,13.44µm
_02966_,13.44µm
_03070_,13.44µm
_03398_,13.44µm
_03441_,13.44µm
_03596_,13.44µm
_03648_,13.44µm
_03751_,13.44µm
_03803_,13.44µm
_03890_,13.44µm
_03894_,13.44µm
_03926_,13.44µm
_03927_,13.44µm
_03942_,13.44µm
_04247_,13.44µm
_04291_,13.44µm
_04462_,13.44µm
_04815_,13.44µm
_04930_,13.44µm
_05040_,13.44µm
_05058_,13.44µm
_05553_,13.44µm
_05672_,13.44µm
_05898_,13.44µm
_06440_,13.44µm
_06510_,13.44µm
_06582_,13.44µm
_06826_,13.44µm
_06906_,13.44µm
_07676_,13.44µm
_07769_,13.44µm
_07776_,13.44µm
_07781_,13.44µm
_07864_,13.44µm
_08048_,13.44µm
_08999_,13.44µm
_09434_,13.44µm
_09582_,13.44µm
_09705_,13.44µm
_09984_,13.44µm
_10014_,13.44µm
_10120_,13.44µm
_10356_,13.44µm
_10409_,13.44µm
_10779_,13.44µm
_11394_,13.44µm
_11449_,13.44µm
_11452_,13.44µm
_11567_,13.44µm
_11630_,13.44µm
_11780_,13.44µm
_12313_,13.44µm
pp_inst.core_inst.reg_state_i.data_d\[212\],13.44µm
pp_inst.fifo_data\[15\]\[10\],13.44µm
pp_inst.fifo_data\[15\]\[20\],13.44µm
pp_inst.fifo_data\[23\]\[25\],13.44µm
pp_inst.fifo_data\[31\]\[19\],13.44µm
pp_inst.fifo_data\[43\]\[8\],13.44µm
pp_inst.fifo_data\[45\]\[27\],13.44µm
_12294_,13.21µm
_06727_,13.16µm
pp_inst.fifo_data\[15\]\[1\],13.16µm
_04878_,13.08µm
_04692_,13.03µm
pp_inst.fifo_data\[13\]\[23\],13.03µm
pp_inst.fifo_data\[14\]\[18\],13.03µm
pp_inst.fifo_data\[1\]\[18\],13.03µm
pp_inst.fifo_data\[25\]\[22\],13.03µm
pp_inst.fifo_data\[48\]\[1\],13.03µm
pp_inst.fifo_data\[53\]\[12\],13.03µm
pp_inst.fifo_data\[5\]\[18\],13.03µm
_00904_,12.98µm
_01400_,12.98µm
_02192_,12.98µm
_02816_,12.98µm
_02968_,12.98µm
_03558_,12.98µm
_04373_,12.98µm
_04522_,12.98µm
_04808_,12.98µm
_06477_,12.98µm
_06639_,12.98µm
_06799_,12.98µm
_08080_,12.98µm
_08862_,12.98µm
_10476_,12.98µm
_10748_,12.98µm
_12015_,12.98µm
pp_inst.fifo_data\[13\]\[29\],12.98µm
pp_inst.fifo_data\[19\]\[1\],12.98µm
pp_inst.fifo_data\[20\]\[17\],12.98µm
pp_inst.fifo_data\[24\]\[15\],12.98µm
pp_inst.fifo_data\[31\]\[24\],12.98µm
pp_inst.fifo_data\[37\]\[24\],12.98µm
pp_inst.fifo_data\[5\]\[0\],12.98µm
pp_inst.fifo_data\[60\]\[11\],12.98µm
pp_inst.fifo_data\[62\]\[0\],12.98µm
pp_inst.fifo_data\[7\]\[8\],12.98µm
spi_ctrl.tx_shift_reg\[24\],12.98µm
spi_ctrl.tx_stage\[16\],12.98µm
spi_phy.rx_reg\[6\],12.98µm
spi_phy.tx_reg\[0\],12.98µm
_00079_,12.93µm
_00127_,12.93µm
_00161_,12.93µm
_00263_,12.93µm
_00334_,12.93µm
_00472_,12.93µm
_00514_,12.93µm
_00543_,12.93µm
_00588_,12.93µm
_00626_,12.93µm
_00891_,12.93µm
_01280_,12.93µm
_01489_,12.93µm
_01630_,12.93µm
_01744_,12.93µm
_01753_,12.93µm
_01761_,12.93µm
_01795_,12.93µm
_01813_,12.93µm
_02193_,12.93µm
_02285_,12.93µm
_02358_,12.93µm
_02401_,12.93µm
_02448_,12.93µm
_02630_,12.93µm
_02841_,12.93µm
_02851_,12.93µm
_03178_,12.93µm
_03219_,12.93µm
_03232_,12.93µm
_03313_,12.93µm
_03363_,12.93µm
_03397_,12.93µm
_03416_,12.93µm
_03639_,12.93µm
_03762_,12.93µm
_03810_,12.93µm
_03968_,12.93µm
_03989_,12.93µm
_03990_,12.93µm
_04030_,12.93µm
_04147_,12.93µm
_05015_,12.93µm
_05295_,12.93µm
_05405_,12.93µm
_05558_,12.93µm
_05600_,12.93µm
_05604_,12.93µm
_05636_,12.93µm
_05681_,12.93µm
_05809_,12.93µm
_05843_,12.93µm
_06181_,12.93µm
_06189_,12.93µm
_06251_,12.93µm
_06291_,12.93µm
_06314_,12.93µm
_06387_,12.93µm
_06403_,12.93µm
_06531_,12.93µm
_06769_,12.93µm
_06860_,12.93µm
_06885_,12.93µm
_07081_,12.93µm
_07092_,12.93µm
_07226_,12.93µm
_07520_,12.93µm
_07551_,12.93µm
_07623_,12.93µm
_07627_,12.93µm
_08088_,12.93µm
_08404_,12.93µm
_08515_,12.93µm
_08619_,12.93µm
_08667_,12.93µm
_08731_,12.93µm
_09758_,12.93µm
_09899_,12.93µm
_09993_,12.93µm
_10132_,12.93µm
_10204_,12.93µm
_10526_,12.93µm
_10744_,12.93µm
_10857_,12.93µm
_10876_,12.93µm
_10947_,12.93µm
_11072_,12.93µm
_11285_,12.93µm
_11290_,12.93µm
_11529_,12.93µm
_11540_,12.93µm
_11736_,12.93µm
_12107_,12.93µm
_12109_,12.93µm
_12323_,12.93µm
pp_inst.core_inst.reg_state_i.data_d\[239\],12.93µm
pp_inst.fifo_data\[10\]\[20\],12.93µm
pp_inst.fifo_data\[10\]\[29\],12.93µm
pp_inst.fifo_data\[14\]\[24\],12.93µm
pp_inst.fifo_data\[20\]\[19\],12.93µm
pp_inst.fifo_data\[21\]\[28\],12.93µm
pp_inst.fifo_data\[22\]\[9\],12.93µm
pp_inst.fifo_data\[25\]\[8\],12.93µm
pp_inst.fifo_data\[26\]\[25\],12.93µm
pp_inst.fifo_data\[27\]\[16\],12.93µm
pp_inst.fifo_data\[30\]\[11\],12.93µm
pp_inst.fifo_data\[33\]\[24\],12.93µm
pp_inst.fifo_data\[34\]\[7\],12.93µm
pp_inst.fifo_data\[37\]\[31\],12.93µm
pp_inst.fifo_data\[38\]\[26\],12.93µm
pp_inst.fifo_data\[38\]\[29\],12.93µm
pp_inst.fifo_data\[39\]\[20\],12.93µm
pp_inst.fifo_data\[3\]\[15\],12.93µm
pp_inst.fifo_data\[41\]\[16\],12.93µm
pp_inst.fifo_data\[42\]\[25\],12.93µm
pp_inst.fifo_data\[45\]\[28\],12.93µm
pp_inst.fifo_data\[48\]\[27\],12.93µm
pp_inst.fifo_data\[50\]\[14\],12.93µm
pp_inst.fifo_data\[51\]\[30\],12.93µm
pp_inst.fifo_data\[53\]\[22\],12.93µm
pp_inst.fifo_data\[53\]\[3\],12.93µm
pp_inst.fifo_data\[59\]\[0\],12.93µm
pp_inst.fifo_data\[59\]\[24\],12.93µm
pp_inst.fifo_data\[61\]\[5\],12.93µm
