Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_227_584,VDD,Metal1,343.3955,906.2885,4.999888
FILLER_227_578,VDD,Metal1,330.6800,905.5200,4.999890
FILLER_227_562,VDD,Metal1,326.5280,906.2120,4.999890
FILLER_227_556,VDD,Metal1,319.5800,905.9525,4.999888
FILLER_227_492,VDD,Metal1,300.8750,906.3340,4.999888
FILLER_227_489,VDD,Metal1,280.8400,905.5200,4.999888
FILLER_227_485,VDD,Metal1,279.8200,905.9525,4.999888
FILLER_227_477,VDD,Metal1,276.5865,906.0965,4.999888
FILLER_227_445,VDD,Metal1,265.5555,906.2885,4.999888
FILLER_227_438,VDD,Metal1,252.5600,905.5200,4.999888
FILLER_227_422,VDD,Metal1,248.1280,906.2120,4.999888
FILLER_227_418,VDD,Metal1,241.3600,905.5200,4.999885
FILLER_227_414,VDD,Metal1,240.0600,905.9525,4.999885
FILLER_227_392,VDD,Metal1,226.5200,905.5200,4.999885
FILLER_227_390,VDD,Metal1,225.6800,905.5200,4.999885
FILLER_227_368,VDD,Metal1,213.0800,905.5200,4.999885
FILLER_227_352,VDD,Metal1,208.9280,906.2120,4.999885
FILLER_227_348,VDD,Metal1,202.1600,905.5200,4.999892
FILLER_227_344,VDD,Metal1,200.8600,905.9525,4.999892
FILLER_227_336,VDD,Metal1,197.6265,906.0965,4.999892
FILLER_227_306,VDD,Metal1,178.3600,905.5200,4.999896
FILLER_227_304,VDD,Metal1,177.5200,905.5200,4.999896
FILLER_227_298,VDD,Metal1,173.8800,905.5200,4.999895
FILLER_227_282,VDD,Metal1,169.7280,906.2120,4.999895
FILLER_227_245,VDD,Metal1,144.2000,905.5200,4.999897
FILLER_227_241,VDD,Metal1,143.1800,905.9525,4.999897
FILLER_227_206,VDD,Metal1,123.5800,905.9525,4.999899
FILLER_227_142,VDD,Metal1,104.8750,906.3340,4.999899
FILLER_227_136,VDD,Metal1,84.3800,905.9525,4.999903
FILLER_227_72,VDD,Metal1,65.6750,906.3340,4.999903
FILLER_227_66,VDD,Metal1,45.1800,905.9525,4.999904
FILLER_227_2,VDD,Metal1,26.4750,906.3340,4.999904
FILLER_226_1609,VDD,Metal1,908.3200,905.5200,4.999918
FILLER_226_1577,VDD,Metal1,899.4755,904.7510,4.999918
FILLER_226_1571,VDD,Metal1,887.9800,905.0875,4.999918
FILLER_226_1507,VDD,Metal1,869.2750,904.7055,4.999918
FILLER_226_1501,VDD,Metal1,848.7800,905.0875,4.999918
FILLER_226_1437,VDD,Metal1,830.0750,904.7055,4.999918
FILLER_226_1431,VDD,Metal1,809.5800,905.0875,4.999918
FILLER_226_1367,VDD,Metal1,790.8750,904.7055,4.999918
FILLER_226_1361,VDD,Metal1,770.3800,905.0875,4.999918
FILLER_226_1297,VDD,Metal1,751.6750,904.7055,4.999918
FILLER_226_1294,VDD,Metal1,731.6400,905.5200,4.999917
FILLER_226_1292,VDD,Metal1,730.8000,905.5200,4.999917
FILLER_226_1288,VDD,Metal1,729.5000,905.0875,4.999917
FILLER_226_1272,VDD,Metal1,724.1280,904.8280,4.999917
FILLER_226_1242,VDD,Metal1,702.5200,905.5200,4.999906
FILLER_226_1240,VDD,Metal1,701.6800,905.5200,4.999906
FILLER_226_1223,VDD,Metal1,692.1600,905.5200,4.999867
FILLER_226_1215,VDD,Metal1,689.8665,904.9430,4.999867
FILLER_226_1084,VDD,Metal1,614.0400,905.5200,4.999854
FILLER_226_1080,VDD,Metal1,613.0200,905.0875,4.999854
FILLER_226_1072,VDD,Metal1,609.7865,904.9430,4.999854
FILLER_226_1058,VDD,Metal1,599.4800,905.5200,4.999854
FILLER_226_1056,VDD,Metal1,598.6400,905.5200,4.999853
FILLER_226_1052,VDD,Metal1,597.3400,905.0875,4.999853
FILLER_226_1044,VDD,Metal1,594.1065,904.9430,4.999848
FILLER_226_1029,VDD,Metal1,583.5200,905.5200,4.999848
FILLER_226_1025,VDD,Metal1,582.2200,905.0875,4.999848
FILLER_226_1017,VDD,Metal1,578.9865,904.9430,4.999848
FILLER_226_1005,VDD,Metal1,570.0800,905.5200,4.999841
