net,length_um
net786,639.41µm
_05946_,638.65µm
_05990_,638.27µm
net570,637.63µm
net132,637.48µm
net1060,637.22µm
rx_data\[5\],637.07µm
net1540,636.91µm
net646,635.44µm
net1258,634.68µm
_09949_,633.82µm
net206,633.05µm
net275,632.13µm
_06486_,631.22µm
net192,630.96µm
net936,630.35µm
_09907_,629.89µm
net305,629.18µm
_03409_,627.76µm
net1430,627.04µm
net1431,626.89µm
net626,625.97µm
net956,625.87µm
net286,623.72µm
net267,623.63µm
net400,623.38µm
net780,622.97µm
net1083,622.31µm
net91,622.05µm
net913,621.47µm
net647,620.83µm
net1112,619.61µm
net338,619.25µm
net1429,618.44µm
net204,617.93µm
_06228_,617.88µm
net723,617.88µm
net1238,617.42µm
_03951_,617.32µm
_04781_,616.62µm
_09830_,616.1µm
net222,615.28µm
net917,614.8µm
net568,613.96µm
net920,613.72µm
_09890_,613.45µm
net1584,613.35µm
_05077_,612.75µm
_09828_,610.5µm
net1182,610.27µm
net181,610.14µm
net921,609.31µm
_11355_,609.07µm
_12034_,608.36µm
net1575,608.26µm
net310,607.9µm
net264,607.49µm
_11352_,607.29µm
net912,606.68µm
net1366,606.12µm
_07514_,606.07µm
net1552,605.81µm
net196,605.2µm
net1151,604.9µm
_11915_,603.93µm
net175,603.22µm
_05348_,601.9µm
net1367,601.64µm
net1260,601.59µm
_06307_,601.37µm
net170,600.67µm
key\[31\],598.54µm
net706,598.43µm
net1580,596.7µm
_09687_,596.6µm
net1070,596.6µm
net169,596.34µm
net741,595.43µm
net107,595.22µm
net331,595.12µm
_11032_,594.36µm
net230,593.77µm
_08405_,593.01µm
net291,592.22µm
net1557,592.17µm
key\[30\],592.12µm
_06029_,591.7µm
net944,591.68µm
net564,590.54µm
net635,590.54µm
net887,589.52µm
net1548,589.47µm
_08471_,589.35µm
net1226,588.86µm
net334,588.7µm
_06621_,588.66µm
net98,588.4µm
_09941_,588.39µm
net856,587.77µm
net616,587.74µm
net939,587.64µm
net1440,587.41µm
net123,587.28µm
net652,586.57µm
_12209_,586.47µm
_09033_,585.45µm
_07811_,585.3µm
_10718_,584.94µm
net1684,584.84µm
net873,584.79µm
net1409,584.28µm
_10943_,583.28µm
net793,581.27µm
net1274,581.02µm
clknet_6_32_0_clk,580.15µm
net619,579.75µm
net620,579.75µm
net1133,579.65µm
net1017,579.44µm
net1579,579.29µm
net225,577.25µm
net566,577.1µm
net970,577.05µm
net1598,576.9µm
net160,576.64µm
net86,576.03µm
net294,575.93µm
_04220_,575.71µm
