Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_227_982,VDD,Metal1,561.7280,906.2120,4.999713
FILLER_227_979,VDD,Metal1,555.2400,905.5200,4.999711
FILLER_227_975,VDD,Metal1,554.2200,905.9525,4.999711
FILLER_227_959,VDD,Metal1,548.8480,906.2120,4.999709
FILLER_227_925,VDD,Metal1,527.4665,906.0965,4.999705
FILLER_227_908,VDD,Metal1,515.7600,905.5200,4.999708
FILLER_227_878,VDD,Metal1,498.6800,905.5200,4.999713
FILLER_227_874,VDD,Metal1,497.6600,905.9525,4.999714
FILLER_227_842,VDD,Metal1,487.8755,906.2885,4.999716
FILLER_227_839,VDD,Metal1,476.8400,905.5200,4.999716
FILLER_227_837,VDD,Metal1,476.0000,905.5200,4.999716
FILLER_227_821,VDD,Metal1,471.5680,906.2120,4.999716
FILLER_227_789,VDD,Metal1,458.1955,906.2885,4.999716
FILLER_227_780,VDD,Metal1,443.8000,905.5200,4.999715
FILLER_227_769,VDD,Metal1,437.6400,905.5200,4.999712
FILLER_227_765,VDD,Metal1,436.6200,905.9525,4.999712
FILLER_227_706,VDD,Metal1,402.3600,905.5200,4.999711
FILLER_227_702,VDD,Metal1,401.3400,905.9525,4.999711
FILLER_227_699,VDD,Metal1,398.4400,905.5200,4.999712
FILLER_227_695,VDD,Metal1,397.4200,905.9525,4.999712
FILLER_227_578,VDD,Metal1,330.6800,905.5200,4.999734
FILLER_227_562,VDD,Metal1,326.5280,906.2120,4.999733
FILLER_227_556,VDD,Metal1,319.5800,905.9525,4.999733
FILLER_227_492,VDD,Metal1,300.8750,906.3340,4.999733
FILLER_227_489,VDD,Metal1,280.8400,905.5200,4.999733
FILLER_227_487,VDD,Metal1,280.0000,905.5200,4.999733
FILLER_227_479,VDD,Metal1,277.7065,906.0965,4.999733
FILLER_227_447,VDD,Metal1,266.6755,906.2885,4.999733
FILLER_227_438,VDD,Metal1,253.5000,905.9525,4.999733
FILLER_227_422,VDD,Metal1,248.1280,906.2120,4.999733
FILLER_227_416,VDD,Metal1,241.1800,905.9525,4.999734
FILLER_227_410,VDD,Metal1,236.6000,905.5200,4.999734
FILLER_227_408,VDD,Metal1,235.7600,905.5200,4.999734
FILLER_227_399,VDD,Metal1,230.4400,905.5200,4.999734
FILLER_227_395,VDD,Metal1,229.4200,905.9525,4.999734
FILLER_227_387,VDD,Metal1,226.1865,906.0965,4.999735
FILLER_227_380,VDD,Metal1,220.0800,905.5200,4.999754
FILLER_227_371,VDD,Metal1,214.7600,905.5200,4.999754
FILLER_227_367,VDD,Metal1,213.7400,905.9525,4.999754
FILLER_227_352,VDD,Metal1,204.1200,905.5200,4.999755
FILLER_227_337,VDD,Metal1,198.1865,906.0965,4.999755
FILLER_227_323,VDD,Metal1,187.8800,905.5200,4.999887
FILLER_227_321,VDD,Metal1,187.0400,905.5200,4.999887
FILLER_227_305,VDD,Metal1,182.6080,906.2120,4.999887
FILLER_227_290,VDD,Metal1,169.6800,905.5200,4.999919
FILLER_227_282,VDD,Metal1,167.3865,906.0965,4.999919
FILLER_227_278,VDD,Metal1,162.9600,905.5200,4.999921
FILLER_227_274,VDD,Metal1,161.6600,905.9525,4.999921
FILLER_227_258,VDD,Metal1,153.9465,906.0965,4.999921
FILLER_227_226,VDD,Metal1,142.9155,906.2885,4.999922
FILLER_227_220,VDD,Metal1,130.2000,905.5200,4.999922
FILLER_227_212,VDD,Metal1,128.1865,906.0965,4.999922
FILLER_227_206,VDD,Metal1,123.5800,905.9525,4.999922
FILLER_227_142,VDD,Metal1,104.8750,906.3340,4.999924
FILLER_227_136,VDD,Metal1,84.3800,905.9525,4.999927
FILLER_227_72,VDD,Metal1,65.6750,906.3340,4.999927
FILLER_227_66,VDD,Metal1,45.1800,905.9525,4.999927
FILLER_227_2,VDD,Metal1,26.4750,906.3340,4.999927
FILLER_226_1609,VDD,Metal1,908.3200,905.5200,4.999877
FILLER_226_1577,VDD,Metal1,899.4755,904.7510,4.999877
FILLER_226_1571,VDD,Metal1,887.9800,905.0875,4.999877
FILLER_226_1507,VDD,Metal1,869.2750,904.7055,4.999877
FILLER_226_1501,VDD,Metal1,848.7800,905.0875,4.999877
FILLER_226_1437,VDD,Metal1,830.0750,904.7055,4.999877
FILLER_226_1431,VDD,Metal1,809.5800,905.0875,4.999877
FILLER_226_1367,VDD,Metal1,790.8750,904.7055,4.999877
FILLER_226_1361,VDD,Metal1,770.3800,905.0875,4.999877
FILLER_226_1297,VDD,Metal1,751.6750,904.7055,4.999877
FILLER_226_1294,VDD,Metal1,731.6400,905.5200,4.999876
FILLER_226_1292,VDD,Metal1,730.8000,905.5200,4.999876
FILLER_226_1288,VDD,Metal1,729.5000,905.0875,4.999876
FILLER_226_1256,VDD,Metal1,719.7155,904.7510,4.999876
FILLER_226_1224,VDD,Metal1,692.4400,905.5200,4.999844
FILLER_226_1220,VDD,Metal1,691.4200,905.0875,4.999844
FILLER_226_1176,VDD,Metal1,665.8400,905.5200,4.999835
FILLER_226_1170,VDD,Metal1,662.2000,905.5200,4.999835
FILLER_226_1157,VDD,Metal1,656.1400,905.0875,4.999835
FILLER_226_1081,VDD,Metal1,613.5800,905.0875,4.999825
FILLER_226_1065,VDD,Metal1,605.8665,904.9430,4.999824
