Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_227_975,VSS,Metal1,553.4600,909.0910,0.000175
FILLER_227_959,VSS,Metal1,547.6320,908.8920,0.000175
FILLER_227_925,VSS,Metal1,526.4530,908.9780,0.000169
FILLER_227_908,VSS,Metal1,515.7600,909.4400,0.000169
FILLER_227_878,VSS,Metal1,498.6800,909.4400,0.000169
FILLER_227_874,VSS,Metal1,496.9000,909.0910,0.000166
FILLER_227_842,VSS,Metal1,486.5240,908.8420,0.000157
FILLER_227_839,VSS,Metal1,476.8400,909.4400,0.000157
FILLER_227_837,VSS,Metal1,476.0000,909.4400,0.000157
FILLER_227_821,VSS,Metal1,470.3520,908.8920,0.000157
FILLER_227_789,VSS,Metal1,456.8440,908.8420,0.000157
FILLER_227_780,VSS,Metal1,443.8000,909.4400,0.000157
FILLER_227_769,VSS,Metal1,437.6400,909.4400,0.000159
FILLER_227_765,VSS,Metal1,435.8600,909.0910,0.000159
FILLER_227_706,VSS,Metal1,402.3600,909.4400,0.000157
FILLER_227_702,VSS,Metal1,400.5800,909.0910,0.000157
FILLER_227_699,VSS,Metal1,398.4400,909.4400,0.000157
FILLER_227_695,VSS,Metal1,396.6600,909.0910,0.000157
FILLER_227_578,VSS,Metal1,330.6800,909.4400,0.000130
FILLER_227_562,VSS,Metal1,325.3120,908.8920,0.000130
FILLER_227_556,VSS,Metal1,318.8200,909.0910,0.000130
FILLER_227_492,VSS,Metal1,299.4445,908.8020,0.000130
FILLER_227_489,VSS,Metal1,280.8400,909.4400,0.000130
FILLER_227_487,VSS,Metal1,280.0000,909.4400,0.000130
FILLER_227_479,VSS,Metal1,276.6930,908.9780,0.000130
FILLER_227_447,VSS,Metal1,265.3240,908.8420,0.000130
FILLER_227_438,VSS,Metal1,252.7400,909.0910,0.000130
FILLER_227_422,VSS,Metal1,246.9120,908.8920,0.000130
FILLER_227_416,VSS,Metal1,240.4200,909.0910,0.000129
FILLER_227_410,VSS,Metal1,236.6000,909.4400,0.000129
FILLER_227_408,VSS,Metal1,235.7600,909.4400,0.000129
FILLER_227_399,VSS,Metal1,230.4400,909.4400,0.000129
FILLER_227_395,VSS,Metal1,228.6600,909.0910,0.000129
FILLER_227_387,VSS,Metal1,225.1730,908.9780,0.000129
FILLER_227_380,VSS,Metal1,220.0800,909.4400,0.000125
FILLER_227_371,VSS,Metal1,214.7600,909.4400,0.000125
FILLER_227_367,VSS,Metal1,212.9800,909.0910,0.000125
FILLER_227_352,VSS,Metal1,204.1200,909.4400,0.000121
FILLER_227_337,VSS,Metal1,197.1730,908.9780,0.000086
FILLER_227_323,VSS,Metal1,187.8800,909.4400,0.000086
FILLER_227_321,VSS,Metal1,187.0400,909.4400,0.000086
FILLER_227_305,VSS,Metal1,181.3920,908.8920,0.000082
FILLER_227_290,VSS,Metal1,169.6800,909.4400,0.000080
